,sample_size,weight,best_priori_score,best_origin_score,origin_score,priori_dis,origin_dis
0,3000,0.05,-6753.0572643991945,-6755.531640443939,-6761.861338185076,5,9
0,3000,0.05,-6785.900566978627,-6786.282111348847,-6793.654821820167,5,11
0,3000,0.05,-6867.634233744604,-6867.341400191901,-6875.215387879441,4,9
0,3000,0.05,-6822.525246827995,-6824.867376033686,-6834.075471283143,5,10
0,3000,0.05,-6864.848361643599,-6864.682664272649,-6874.825552022669,5,8
0,3000,0.05,-6795.790308382936,-6795.734141858099,-6803.913053357165,7,11
0,3000,0.05,-6755.5129845841,-6757.664750851368,-6762.883354234774,6,10
0,3000,0.05,-6915.7834185976935,-6919.428770381859,-6924.095173373581,5,9
0,3000,0.05,-6814.8776138407875,-6815.781439786971,-6821.413406748138,5,10
0,3000,0.05,-7018.314989843919,-7020.509070625556,-7030.869864874609,7,13
0,5000,0.05,-11139.349275758494,-11140.786740937689,-11147.574530497466,5,9
0,5000,0.05,-11466.223264977594,-11465.000280002818,-11471.686996921024,4,8
0,5000,0.05,-11402.252045147949,-11403.648552866563,-11409.362083250948,4,12
0,5000,0.05,-11187.464956645706,-11188.636967779288,-11192.988942920747,4,8
0,5000,0.05,-11270.114702762701,-11269.3952409401,-11275.593849221103,4,8
0,5000,0.05,-11310.047457569866,-11311.812873347604,-11315.493719665548,4,7
0,5000,0.05,-11358.338542176854,-11358.909985846905,-11366.71233300726,5,10
0,5000,0.05,-11167.357383731807,-11168.606066407012,-11175.804986282852,5,10
0,5000,0.05,-11471.638273469529,-11471.80750617225,-11476.301580885065,3,9
0,5000,0.05,-11335.048175748896,-11336.967460196202,-11343.422792248679,5,10
