,sample_size,weight,best_priori_score,best_origin_score,origin_score,priori_dis,origin_dis
0,1000,0.08,-7451.109488548968,-7474.064996389819,-7451.109488548969,6,8
0,1000,0.08,-7457.8737606204,-7457.8737606204,-7434.195913511469,7,7
0,1000,0.08,-7374.43647681597,-7374.43647681597,-7374.436476815973,2,2
0,1000,0.08,-7421.9044645578615,-7421.9044645578615,-7421.904464557862,7,7
0,1000,0.08,-7490.077675133844,-7490.077675133844,-7457.3711742310725,9,9
0,1000,0.08,-7465.943298184948,-7465.943298184948,-7465.9432981849495,6,6
0,1000,0.08,-7545.962267473938,-7579.815178735971,-7545.962267473939,8,10
0,3000,0.08,-21767.44520290022,-21767.44520290022,-21767.445202900224,6,6
0,3000,0.08,-21963.15220719748,-21963.15220719748,-21963.152207197483,8,8
0,3000,0.08,-21737.905961278506,-21737.90596127851,-21711.241025250798,6,9
0,3000,0.08,-21865.676621531315,-21865.676621531315,-21865.67662153133,8,8
0,3000,0.08,-21895.453884530303,-21895.453884530303,-21868.656482067872,8,8
0,3000,0.08,-21690.028600783262,-21690.028600783262,-21690.028600783262,6,6
0,3000,0.08,-21961.99681129566,-21961.99681129566,-21907.04272881396,7,8
0,3000,0.08,-21933.598260597864,-21933.598260597864,-21933.598260597875,6,6
0,3000,0.08,-21783.67140338044,-21783.67140338044,-21783.92218554502,6,6
0,3000,0.08,-21864.210532171724,-21864.210532171724,-21864.210532171724,7,7
0,5000,0.08,-36399.24402299932,-36399.24402299932,-36399.24402299933,5,5
0,5000,0.08,-36379.90078757052,-36379.90078757052,-36320.486119772366,6,6
0,5000,0.08,-35927.02624721347,-35927.02624721347,-35927.02624721347,5,5
0,5000,0.08,-36397.42664117185,-36397.42664117185,-36397.426641171856,5,5
0,5000,0.08,-36203.51791331733,-36203.51791331733,-36203.517913317344,1,1
0,5000,0.08,-36083.32242132611,-36083.32242132611,-36083.32242132611,5,5
0,5000,0.08,-36145.62916084304,-36145.62916084304,-36111.95926993193,7,7
0,5000,0.08,-36632.076567076976,-36632.076567076976,-36573.1052908208,6,7
0,5000,0.08,-36158.835525929346,-36158.835525929346,-36124.99713789827,9,10
0,5000,0.08,-36304.5307534572,-36304.5307534572,-36270.23132197866,6,6
