,sample_size,weight,best_priori_score,best_origin_score,origin_score,priori_dis,origin_dis
0,800,0.02,-11422.223455127536,-11422.223455127536,-11385.991876487891,45,45
0,800,0.02,-11284.924110921589,-11284.924110921589,-11290.69448141916,48,48
0,800,0.02,-11559.410100399744,-11559.410100399744,-11570.73452037218,53,53
0,800,0.02,-11368.185535500497,-11367.871654449655,-11328.40819004745,45,46
0,800,0.02,-11530.564576183233,-11530.19486818377,-11547.29021872543,56,57
0,800,0.02,-11309.633352580211,-11309.628097354773,-11477.844359884866,50,51
0,800,0.02,-11371.428866473963,-11371.150578591854,-11306.892965242627,44,45
0,800,0.02,-11388.381437162825,-11387.772244531347,-11434.857190179842,48,49
0,800,0.02,-11532.71811840579,-11529.533760776307,-11510.989698667952,63,64
0,800,0.02,-11408.460941982992,-11408.460941982992,-11543.227631551688,29,29
0,1000,0.02,-14196.862414651721,-14196.862414651721,-14218.00950725673,43,43
0,1000,0.02,-14239.607006898495,-14238.543038958935,-14178.628551676848,55,57
0,1000,0.02,-14082.89794193529,-14089.348171423157,-14156.710738692997,33,36
0,1000,0.02,-13882.351669313095,-13882.319611595214,-14049.857029435601,52,53
0,1000,0.02,-13906.960002620943,-13906.091804843245,-13927.858191129144,45,46
0,1000,0.02,-14074.349670270005,-14073.236093432828,-14252.412923440537,43,45
0,1000,0.02,-14327.241103319213,-14326.631783353958,-14181.811040450873,42,43
0,1000,0.02,-14134.525762544648,-14141.754786690417,-14236.60548542697,46,48
0,1000,0.02,-14118.289489532897,-14125.967106213553,-14209.951628160417,43,48
0,1000,0.02,-14097.29977752019,-14095.92126187999,-14203.680272554855,43,45
0,3000,0.02,-40764.80575447521,-40764.80575447521,-40653.72863602488,40,40
0,3000,0.02,-40571.409752324624,-40570.78918227334,-40841.29713373896,25,25
0,3000,0.02,-40805.030014536664,-40805.030014536664,-40635.039997413565,42,42
0,3000,0.02,-40477.853013552536,-40477.853013552536,-40534.665858003544,35,35
0,3000,0.02,-40833.433921753516,-40833.433921753516,-40710.44324666135,40,40
0,3000,0.02,-40442.80000889008,-40442.80000889008,-40462.25602884077,29,29
0,3000,0.02,-41005.24151308631,-41005.24151308631,-40764.383798868475,38,38
0,3000,0.02,-40598.61402149724,-40598.61402149724,-40767.8739954055,32,32
0,3000,0.02,-40674.51804530335,-40674.51804530335,-40805.75795522488,35,35
0,3000,0.02,-40724.8333764074,-40724.8333764074,-40656.74236733158,40,40
0,5000,0.02,-67464.11360313039,-67520.3554476817,-66978.8669916008,39,42
0,5000,0.02,-67241.67068043195,-67290.2117725712,-67076.85407450455,35,39
0,5000,0.02,-67787.81223204406,-67829.05010450174,-67115.64902826422,50,53
0,5000,0.02,-67210.79388804996,-67210.69931695127,-67306.72224865721,36,37
0,5000,0.02,-67506.6788253628,-67506.6788253628,-66768.33111452819,38,38
0,5000,0.02,-67466.56467466574,-67466.56467466574,-67269.54268106676,43,43
0,5000,0.02,-66793.41925210069,-66793.41925210069,-66673.36426488256,33,33
0,5000,0.02,-66954.78797342225,-66953.65967245247,-66579.28817975697,39,40
0,5000,0.02,-67151.03270644492,-67151.03270644492,-66947.8100732168,38,38
0,5000,0.02,-67380.43558756122,-67450.11089952828,-66900.28512371857,40,42
