,Unnamed: 0,Unnamed: 0.1,sample_size,weight,best_priori_score,best_origin_score,origin_score,priori_dis,origin_dis
7,0,,300,0.02,-16249.196645295562,-16258.82679208978,-16977.153174154733,79,84
8,0,,500,0.02,-26562.217507395104,-26562.767601800977,-27554.02792669002,84,87
9,0,,500,0.02,-26514.599966205387,-26529.587718427985,-27474.255609459884,89,97
10,0,,500,0.02,-26704.42230035114,-26693.34134873032,-27715.905449944352,80,72
11,0,,500,0.02,-26103.30187449952,-26116.27660256189,-27019.320390869696,70,78
12,0,,800,0.02,-41558.371580272855,-41558.371580272855,-42847.982581053606,96,96
13,0,,800,0.02,-41494.47036251268,-41517.718465015685,-42726.67838464871,78,85
14,0,,800,0.02,-41550.95239184507,-41556.78338889965,-42788.59848652069,90,95
15,0,,800,0.02,-41422.73865070634,-41437.095750798246,-42640.958785121984,95,103
16,0,,1000,0.02,-51713.60462350807,-51733.51572935254,-53092.588294075445,84,92
17,0,,1000,0.02,-51631.95711818082,-51631.494481629714,-53115.3373079366,90,96
18,0,,1000,0.02,-51729.21093877545,-51735.72303837277,-53100.19067939983,72,77
19,0,,1000,0.02,-51825.19759429061,-51841.31271150029,-53315.50963554668,69,78
20,0,,3000,0.02,-151194.90114406627,-151218.93490915617,-153526.02439657738,79,87
21,0,,3000,0.02,-151130.97036525118,-151177.1591455534,-153409.4902011758,69,80
22,0,,3000,0.02,-150690.92671926122,-150717.12470701055,-153013.55201315967,80,90
23,0,,3000,0.02,-151286.31950277727,-151310.92173042815,-153640.68496483538,70,80
24,0,,5000,0.02,-249903.21812058345,-249929.323875262,-252878.2229302239,56,62
25,0,,5000,0.02,-250192.5689697988,-250272.66223501464,-252954.75413326488,82,91
26,0,,5000,0.02,-250284.99062454168,-250350.3958462916,-252981.9732864826,81,93
27,0,,5000,0.02,-249464.9579686448,-249489.42660836,-252174.181916083,64,70
