,Unnamed: 0,Unnamed: 0.1,sample_size,weight,best_priori_score,best_origin_score,origin_score,priori_dis,origin_dis,Unnamed: 0.1.1
19,0,,800,0.08,-11437.319159600656,-11437.319159600656,-11324.170015689073,62,62,
20,0,,1000,0.08,-13978.76123803307,-13977.670327249632,-14155.871353433962,66,68,
21,0,,1000,0.08,-14025.648449009988,-14025.531136159649,-14064.3540538851,50,51,
22,0,,1000,0.08,-14180.294485965793,-14175.867684962655,-14187.449672987404,49,49,
23,0,,1000,0.08,-14177.588768490114,-14175.542898210451,-14183.187445630418,62,61,
24,0,,1000,0.08,-13923.62454944119,-13922.576213677256,-14086.800695405049,61,62,
25,0,,3000,0.08,-40331.28792092463,-40329.27851512413,-40427.99296552,39,40,
26,0,,3000,0.08,-40619.77007911776,-40616.3133019618,-40729.40709851543,46,47,
27,0,,3000,0.08,-40275.52868837257,-40272.40191157298,-40383.25855761614,44,45,
28,0,,3000,0.08,-40632.42560873094,-40627.46208994955,-40823.28869668998,35,37,
29,0,,3000,0.08,-40683.20035231753,-40680.937486391376,-40759.71256241485,43,44,
30,0,,5000,0.08,-67272.02551133066,-67269.38003451048,-67127.40237158886,44,45,
31,0,,5000,0.08,-67502.98342900339,-67500.98422881804,-66820.04644834145,64,65,
32,0,,5000,0.08,-67640.63131542549,-67640.63131542549,-67398.43901950875,65,65,
33,0,,5000,0.08,-67943.0931096574,-67943.0931096574,-66884.97127227293,61,61,
34,0,,5000,0.08,-67870.27687516237,-67866.46443576508,-67069.43415048148,43,44,
